Nom,Pays,Ligue,Titres_championnat,Titres_Champions_League,Meilleur_classement
Real Madrid,Espagne,La Liga,36,15,1
FC Barcelone,Espagne,La Liga,28,5,1
Atletico Madrid,Espagne,La Liga,11,0,1
Athletic Bilbao,Espagne,La Liga,8,0,1
Valencia CF,Espagne,La Liga,6,0,1
Sevilla FC,Espagne,La Liga,1,0,1
Real Sociedad,Espagne,La Liga,2,0,1
Villarreal CF,Espagne,La Liga,0,0,2
Real Betis,Espagne,La Liga,2,0,3
Deportivo La Coruna,Espagne,La Liga,1,0,1
Celta de Vigo,Espagne,La Liga,0,0,3
RCD Espanyol,Espagne,La Liga,0,0,4
Rayo Vallecano,Espagne,La Liga,0,0,6
Getafe CF,Espagne,La Liga,0,0,5
Osasuna,Espagne,La Liga,0,0,4
Mallorca,Espagne,La Liga,0,0,5
Girona FC,Espagne,La Liga,0,0,3
Alaves,Espagne,La Liga,0,0,9
Las Palmas,Espagne,La Liga,0,0,8
Bayern Munich,Allemagne,Bundesliga,35,6,1
Borussia Dortmund,Allemagne,Bundesliga,8,1,1
Borussia Mönchengladbach,Allemagne,Bundesliga,5,0,1
Bayer Leverkusen,Allemagne,Bundesliga,1,0,1
RB Leipzig,Allemagne,Bundesliga,0,0,2
Eintracht Francfort,Allemagne,Bundesliga,1,0,3
Wolfsburg,Allemagne,Bundesliga,1,0,1
Schalke 04,Allemagne,Bundesliga,0,0,2
Hambourg SV,Allemagne,Bundesliga,6,1,1
Werder Brême,Allemagne,Bundesliga,4,0,1
VfB Stuttgart,Allemagne,Bundesliga,3,0,1
1. FC Köln,Allemagne,Bundesliga,3,0,1
1. FC Nürnberg,Allemagne,Bundesliga,9,0,1
Hertha Berlin,Allemagne,Bundesliga,0,0,6
Union Berlin,Allemagne,Bundesliga,0,0,5
Freiburg,Allemagne,Bundesliga,0,0,4
Augsbourg,Allemagne,Bundesliga,0,0,5
Mainz 05,Allemagne,Bundesliga,0,0,5
Paris Saint-Germain,France,Ligue 1,15,2,1
AS Saint-Etienne,France,Ligue 1,10,0,1
Olympique de Marseille,France,Ligue 1,11,1,1
AS Monaco,France,Ligue 1,8,0,1
FC Nantes,France,Ligue 1,8,0,1
Olympique Lyonnais,France,Ligue 1,7,0,1
FC Girondins de Bordeaux,France,Ligue 1,6,0,1
LOSC Lille,France,Ligue 1,4,0,1
Stade de Reims,France,Ligue 1,6,0,1
RC Lens,France,Ligue 1,1,0,1
Stade Rennais,France,Ligue 1,2,0,2
AJ Auxerre,France,Ligue 1,1,0,3
Montpellier HSC,France,Ligue 1,1,0,1
Toulouse FC,France,Ligue 1,0,0,4
Le Havre AC,France,Ligue 1,0,0,8
Strasbourg,France,Ligue 1,1,0,4
Nice,France,Ligue 1,4,0,2
Metz,France,Ligue 1,0,0,5
Brest,France,Ligue 1,0,0,3
